City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Christchurch,NZ,2022-01-25 09:59:23,-43.5333,172.6333,65.95,80,100,1.01
68,Taltal,CL,2022-01-25 10:00:20,-25.4,-70.4833,63.48,85,64,2.95
69,Egvekinot,RU,2022-01-25 10:01:46,66.3167,-179.1667,-26.81,80,18,5.08
70,Poum,NC,2022-01-25 10:01:47,-20.2333,164.0167,79.77,68,34,16.37
71,Mtwango,TZ,2022-01-25 10:01:47,-9.0167,34.8,68.11,73,100,15.48
72,Faanui,PF,2022-01-25 10:01:48,-16.4833,-151.75,80.49,78,93,11.16
73,Karasjok,NO,2022-01-25 10:01:48,69.4719,25.5112,26.71,85,42,18.39
74,Hobyo,SO,2022-01-25 10:01:48,5.3505,48.5268,81.7,53,36,25.3
75,Miri,MY,2022-01-25 10:01:49,4.4148,114.0089,79.95,82,96,5.28
76,Barrow,US,2022-01-25 10:01:49,71.2906,-156.7887,14.02,79,100,18.41
77,Chapais,CA,2022-01-25 10:01:50,49.7834,-74.8492,-7.82,98,100,5.03
78,Vardo,NO,2022-01-25 10:01:50,70.3705,31.1107,28.6,80,0,34.52
79,Matay,EG,2022-01-25 10:01:50,28.419,30.7792,55.99,31,0,6.24
80,Camacha,PT,2022-01-25 10:01:51,33.0833,-16.3333,57.96,72,40,17.27
81,Busselton,AU,2022-01-25 10:01:51,-33.65,115.3333,80.1,51,4,17.72
82,Vanimo,PG,2022-01-25 10:01:52,-2.6741,141.3028,79.3,82,98,3.31
83,Soubre,CI,2022-01-25 10:01:52,5.7856,-6.6083,85.77,22,23,4.38
84,Fairmont,US,2022-01-25 09:59:32,39.4851,-80.1426,36.39,96,100,7.9
85,Berlevag,NO,2022-01-25 10:01:53,70.8578,29.0864,30.15,74,75,34.52
86,Butembo,CD,2022-01-25 10:01:53,0.15,29.2833,74.39,46,100,5.7
87,Sitka,US,2022-01-25 10:01:53,57.0531,-135.33,40.89,87,100,4.61
88,Pasighat,IN,2022-01-25 10:01:54,28.0667,95.3333,65.98,66,65,0.6
89,Pangnirtung,CA,2022-01-25 10:02:54,66.1451,-65.7125,-12.01,100,100,1.61
90,Klaksvik,FO,2022-01-25 10:02:54,62.2266,-6.589,43.72,85,100,26.96
91,Marzuq,YE,2022-01-25 10:02:55,14.4,46.4667,75.78,18,100,9.93
92,Pilar,BR,2022-01-25 10:02:55,-9.5972,-35.9567,78.73,73,78,4.59
93,Aklavik,CA,2022-01-25 10:02:56,68.2191,-135.0107,31.14,78,81,9.91
94,Atuona,PF,2022-01-25 10:02:56,-9.8,-139.0333,78.19,72,3,18.68
95,Nuevo Progreso,MX,2022-01-25 10:02:56,23.1667,-97.95,62.6,84,99,9.37
96,Jamestown,US,2022-01-25 09:59:00,42.097,-79.2353,22.59,55,100,6.91
97,Surt,LY,2022-01-25 10:02:57,31.2089,16.5887,54.36,65,100,19.84
98,Suntar,RU,2022-01-25 10:02:57,62.1444,117.6319,-16.83,100,83,2.24
99,Esperance,AU,2022-01-25 10:02:57,-33.8667,121.9,64.24,78,70,15.57
100,Kruisfontein,ZA,2022-01-25 10:02:58,-34.0033,24.7314,71.89,58,83,12.68
101,Hofn,IS,2022-01-25 10:02:58,64.2539,-15.2082,42.37,75,53,39.8
102,Mount Gambier,AU,2022-01-25 10:02:59,-37.8333,140.7667,75.25,48,37,6.67
