,City,Country,Lat,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed,Current Description
76,San Patricio,US,28.017,-97.5169,49.87,75,10000,19.57,moderate rain
77,Belmonte,BR,-15.8631,-38.8828,82.9,63,10000,5.84,broken clouds
78,Castro,BR,-24.7911,-50.0119,63.75,98,7816,5.86,overcast clouds
79,Longyearbyen,SJ,78.2186,15.6401,13.84,62,10000,11.5,scattered clouds
80,Riyadh,SA,24.6877,46.7219,59.14,24,10000,11.39,clear sky
81,Zhangaözen,KZ,43.3,52.8,32.95,57,10000,14.72,clear sky
82,Ribeira Grande,PT,38.5167,-28.7,63.0,55,10000,16.11,few clouds
83,Cape Town,ZA,-33.9258,18.4232,78.12,44,10000,25.32,clear sky
84,Mikhaylovka,RU,50.06,43.2379,11.7,98,8439,4.85,scattered clouds
85,Touros,BR,-5.1989,-35.4608,83.3,61,10000,7.07,broken clouds
86,Hobart,AU,-42.8794,147.3294,65.01,81,10000,10.36,overcast clouds
87,Dawei,MM,14.0833,98.2,73.0,78,10000,3.53,clear sky
88,Los Llanos de Aridane,ES,28.6585,-17.9182,62.35,75,10000,5.99,few clouds
89,Bluff,NZ,-46.6,168.3333,50.81,79,10000,4.45,broken clouds
90,Kalmunai,LK,7.4167,81.8167,78.37,80,10000,7.67,broken clouds
91,Dimāpur,IN,25.9,93.7333,56.52,75,10000,1.23,clear sky
92,Narimanov,RU,46.6927,47.8498,28.31,84,10000,10.94,broken clouds
93,Cortez,US,37.3489,-108.5859,20.41,54,10000,3.15,clear sky
94,Soe,ID,-9.8607,124.284,67.01,90,10000,3.78,overcast clouds
95,Shubarshi,KZ,48.5872,57.1869,19.09,91,10000,5.7,overcast clouds
96,Beihai,CN,21.4833,109.1,68.59,82,10000,7.45,scattered clouds
97,Naze,JP,28.3667,129.4833,57.65,75,10000,9.24,overcast clouds
98,Esperance,AU,-33.8667,121.9,66.04,71,10000,17.54,clear sky
99,La Providencia,MX,28.7167,-111.5833,56.35,62,10000,8.93,overcast clouds
100,Ballina,AU,-28.8667,153.5667,75.16,85,10000,5.75,scattered clouds
101,Atbasar,KZ,51.8,68.3333,1.35,91,10000,5.55,overcast clouds
102,Itaguaí,BR,-22.8522,-43.7753,89.28,74,10000,9.22,few clouds
103,Mezen',RU,65.8522,44.24,10.89,95,353,6.73,light snow
104,Flinders,AU,-34.5833,150.8552,75.2,81,10000,5.99,scattered clouds
105,Puerto Ayora,EC,-0.7393,-90.3518,74.95,76,10000,5.03,overcast clouds
106,Al Bardīyah,LY,31.7561,25.0865,57.49,60,10000,20.51,clear sky
107,Corinth,GR,37.9407,22.9573,55.89,62,10000,5.73,scattered clouds
108,Mariehamn,AX,60.0973,19.9348,33.66,60,10000,18.41,few clouds
109,Bethel,US,41.3712,-73.414,31.3,66,10000,4.32,overcast clouds
110,Māngrol,IN,21.1167,70.1167,71.53,47,10000,5.46,clear sky
111,Pauini,BR,-7.7136,-66.9764,82.54,74,10000,3.38,overcast clouds
112,Djibouti,DJ,11.5,42.5,78.69,44,10000,11.45,few clouds
113,Río Cuarto,AR,-33.1307,-64.3499,69.84,68,10000,17.27,clear sky
114,Sinjār,IQ,36.3209,41.8754,45.05,46,10000,4.32,few clouds
115,Natchitoches,US,31.7668,-93.1335,39.88,65,10000,8.05,clear sky
116,Maihar,IN,24.2667,80.75,56.53,36,10000,5.12,clear sky
117,Hofn,IS,64.2539,-15.2082,39.22,65,10000,17.27,few clouds
118,Mount Gambier,AU,-37.8333,140.7667,64.31,88,10000,9.22,overcast clouds
119,Richards Bay,ZA,-28.783,32.0377,82.63,75,10000,15.32,broken clouds
120,Tocopilla,CL,-22.092,-70.1979,70.99,66,10000,6.44,clear sky
121,Kaihua,CN,23.3687,104.28,53.58,86,10000,5.44,scattered clouds
122,Henties Bay,NA,-22.116,14.2845,66.85,76,10000,16.11,broken clouds
123,Nobeoka,JP,32.5833,131.6667,39.76,73,10000,5.53,overcast clouds
124,Avera,US,33.194,-82.5271,37.38,51,10000,2.17,overcast clouds
125,Jutaí,BR,-5.1833,-68.9,77.86,91,10000,2.68,overcast clouds
126,Omboué,GA,-1.5746,9.2618,83.37,68,10000,10.25,light rain
127,Jinxiang,CN,27.4327,120.6062,47.89,84,10000,12.44,overcast clouds
128,Broken Hill,AU,-31.95,141.4333,74.91,83,10000,5.75,overcast clouds
129,Manadhoo,MV,5.7667,73.3833,81.77,67,10000,20.15,clear sky
130,Mitsamiouli,KM,-11.3847,43.2844,86.29,66,10000,8.05,light rain
131,Jardim,BR,-21.4803,-56.1381,82.92,62,10000,3.44,overcast clouds
132,Chimala,TZ,-8.85,34.0167,74.77,84,6000,3.49,moderate rain
133,Paamiut,GL,61.994,-49.6678,18.79,74,9450,21.52,overcast clouds
134,Provideniya,RU,64.3833,-173.3,-2.04,98,10000,3.89,scattered clouds
135,Derzhavīnsk,KZ,51.1,66.3167,9.66,79,10000,10.87,broken clouds
136,Aswān,EG,24.0934,32.907,62.6,23,10000,15.57,broken clouds
137,Bilibino,RU,68.0546,166.4372,-6.97,96,10000,4.07,broken clouds
138,Jamestown,US,42.097,-79.2353,25.92,10,4802,8.86,light snow
139,Barrow,US,71.2906,-156.7887,-21.66,99,10000,13.85,scattered clouds
140,Pevek,RU,69.7008,170.3133,-18.56,97,10000,1.92,overcast clouds
141,Tasiilaq,GL,65.6145,-37.6368,7.47,63,10000,7.16,clear sky
142,Freeport,US,40.6576,-73.5832,33.39,70,10000,1.01,overcast clouds
143,Yerbogachën,RU,61.2767,108.0108,-20.04,100,8295,3.98,overcast clouds
144,Severo-Kuril'sk,RU,50.6789,156.125,23.22,73,7835,35.59,overcast clouds
145,Souillac,MU,-20.5167,57.5167,83.35,71,10000,9.46,few clouds
146,Kruisfontein,ZA,-34.0033,24.7314,76.89,61,10000,21.83,clear sky
147,Narsaq,GL,60.9167,-46.05,8.82,67,10000,8.93,broken clouds
148,Hue,VN,16.4667,107.6,75.31,88,10000,5.75,few clouds
149,Waipawa,NZ,-41.4122,175.5153,52.43,77,10000,3.71,overcast clouds
150,Savonlinna,FI,61.8699,28.88,27.25,93,10000,2.3,overcast clouds
151,Sunrise Manor,US,36.2111,-115.0731,45.66,25,10000,3.0,clear sky
152,Khatanga,RU,71.9667,102.5,1.53,86,10000,7.83,overcast clouds
153,Vao,NC,-22.6667,167.4833,79.09,85,10000,20.83,light rain
154,Bluefields,NI,12.0137,-83.7635,76.59,81,10000,3.06,clear sky
155,Sakaiminato,JP,35.55,133.2333,44.96,62,10000,1.03,overcast clouds
156,Wahiawā,US,21.5028,-158.0236,68.47,87,10000,1.43,clear sky
157,Krasnosel'kup,RU,65.7,82.4667,3.7,95,529,14.7,overcast clouds
158,Porto-Novo,BJ,6.4965,2.6036,94.1,28,10000,12.97,clear sky
159,Port Augusta,AU,-32.5,137.7667,71.71,65,10000,19.13,overcast clouds
160,Iqaluit,CA,63.7506,-68.5145,-4.27,70,4023,5.01,light snow
161,Nuuk,GL,64.1835,-51.7216,25.41,63,10000,21.85,overcast clouds
162,Roald,NO,62.5833,6.1333,39.0,87,10000,18.41,light intensity drizzle
163,Comodoro Rivadavia,AR,-45.8667,-67.5,64.15,78,10000,7.61,overcast clouds
164,Berlevåg,NO,70.8578,29.0864,31.95,59,10000,12.66,broken clouds
165,Dharangaon,IN,21.0167,75.2667,69.22,24,10000,6.44,clear sky
166,Tarime,TZ,-1.35,34.3667,72.73,59,10000,6.85,overcast clouds
167,Shache,CN,38.4167,77.2406,31.71,37,10000,7.07,scattered clouds
168,Mandera,KE,3.9366,41.867,96.94,15,10000,5.46,scattered clouds
169,Novy Urengoy,RU,66.0833,76.6333,3.88,96,734,8.63,overcast clouds
170,Alpena,US,45.0617,-83.4327,9.18,83,10000,3.0,overcast clouds
171,Port Macquarie,AU,-31.4333,152.9167,69.89,86,10000,6.64,clear sky
172,Faya,SA,18.3851,42.4509,61.93,53,10000,8.75,clear sky
173,Lebu,CL,-37.6167,-73.65,63.93,80,10000,5.01,scattered clouds
174,Verkh-Usugli,RU,52.7,115.1667,-11.51,94,10000,4.23,clear sky
175,Rundu,NA,-17.9333,19.7667,79.5,56,10000,3.56,overcast clouds
176,Nikolskoye,RU,59.7035,30.7861,29.88,97,565,5.73,snow
177,Ahipara,NZ,-35.1667,173.1667,61.5,77,10000,7.96,scattered clouds
178,Makakilo City,US,21.3469,-158.0858,70.29,85,10000,2.68,clear sky
179,Kavaratti,IN,10.5669,72.642,81.07,70,10000,6.96,broken clouds
180,Lagoa,PT,39.05,-27.9833,58.3,62,10000,15.5,broken clouds
181,Half Moon Bay,US,37.4636,-122.4286,55.51,67,10000,0.0,clear sky
182,Carauari,BR,-4.8828,-66.8958,75.74,97,10000,2.57,overcast clouds
183,Dingle,PH,10.9995,122.6711,76.82,88,10000,5.66,overcast clouds
184,Gejiu,CN,23.306,103.1635,46.51,79,10000,3.71,scattered clouds
185,Neftçala,AZ,39.3742,49.2472,42.93,67,10000,10.07,scattered clouds
186,Dunedin,NZ,-45.8742,170.5036,53.28,93,10000,7.52,scattered clouds
187,Tomatlán,MX,19.9333,-105.25,63.28,67,10000,2.26,overcast clouds
188,Buala,SB,-8.145,159.5921,78.84,83,10000,6.11,light rain
189,Rochegda,RU,62.8,43.25,15.55,94,300,7.99,light snow
190,Westport,US,41.1415,-73.3579,33.19,62,10000,5.01,overcast clouds
191,Ouango,CF,4.3133,22.5552,100.87,12,10000,4.23,clear sky
192,Nuquí,CO,5.7125,-77.2708,78.78,81,10000,3.47,overcast clouds
193,Sisimiut,GL,66.9395,-53.6735,16.0,63,10000,22.03,overcast clouds
194,Hilo,US,19.7297,-155.09,69.62,80,10000,5.01,clear sky
195,Yangi Marg`ilon,UZ,40.4272,71.7189,38.12,38,6000,2.3,overcast clouds
196,Saskylakh,RU,71.9167,114.0833,-4.9,91,10000,6.46,overcast clouds
197,Kaka,TM,37.3482,59.6143,47.98,68,10000,3.89,overcast clouds
198,São João da Ponte,BR,-15.9292,-44.0078,79.39,64,10000,4.88,scattered clouds
199,Ocós,GT,14.5094,-92.1933,83.32,65,10000,3.74,clear sky
200,Sur,OM,22.5667,59.5289,72.77,51,10000,5.37,clear sky
201,Port-Gentil,GA,-0.7193,8.7815,80.98,78,10000,7.16,broken clouds
202,Havelock,US,34.8791,-76.9013,39.15,74,10000,1.99,overcast clouds
203,Ariquemes,BR,-9.9133,-63.0408,74.77,95,10000,1.48,light rain
204,Jizan,SA,17.3333,42.6667,85.59,47,10000,12.91,few clouds
205,Tura,IN,25.5198,90.2201,51.26,55,10000,2.1,clear sky
206,Alice Springs,AU,-23.7,133.8833,76.55,83,10000,14.97,overcast clouds
207,Lata,PT,40.1629,-8.3327,63.91,27,10000,7.25,clear sky
208,Port Elizabeth,ZA,-33.918,25.5701,79.11,67,10000,21.07,clear sky
209,Cabo San Lucas,MX,22.8909,-109.9124,67.51,75,10000,3.31,broken clouds
210,Kudahuvadhoo,MV,2.6708,72.8944,80.8,59,10000,10.04,overcast clouds
211,Grand-Santi,GF,4.25,-54.3833,83.3,63,10000,4.09,broken clouds
212,Popondetta,PG,-8.7537,148.2534,74.73,95,10000,2.55,overcast clouds
213,Jacareacanga,BR,-6.2222,-57.7528,74.7,94,10000,1.97,overcast clouds
214,Campbell River,CA,50.0163,-125.2446,33.46,88,10000,2.01,overcast clouds
215,Lorengau,PG,-2.0226,147.2712,82.29,78,10000,11.68,broken clouds
216,Dikson,RU,73.5069,80.5464,6.67,92,1818,20.47,overcast clouds
217,Likasi,CD,-10.9814,26.7333,70.74,92,10000,7.27,light rain
218,Ilabaya,PE,-17.4208,-70.5133,68.25,73,10000,5.93,overcast clouds
219,Kholm,RU,59.2667,32.85,25.95,97,346,4.23,snow
220,Egvekinot,RU,66.3167,-179.1667,-3.71,93,10000,3.56,scattered clouds
221,Mayumba,GA,-3.432,10.6554,81.9,72,10000,7.02,scattered clouds
222,Kutum,SD,14.2,24.6667,71.67,11,10000,11.74,scattered clouds
223,Ulladulla,AU,-35.35,150.4667,71.87,87,10000,10.0,clear sky
224,Mehamn,NO,71.0357,27.8492,31.91,61,10000,7.05,overcast clouds
225,Alofi,NU,-19.0595,-169.9187,81.95,76,10000,16.71,light rain
226,Sørland,NO,67.667,12.6934,31.86,59,10000,10.36,scattered clouds
227,Picos,BR,-7.0769,-41.4669,81.63,71,9987,3.38,light rain
228,Cap Malheureux,MU,-19.9842,57.6142,83.46,63,10000,5.99,clear sky
229,Bowen,AU,-20.0167,148.2333,79.47,80,10000,13.98,overcast clouds
230,Koumac,NC,-20.5667,164.2833,79.63,80,10000,8.03,overcast clouds
231,Saint-Pierre,RE,-21.3393,55.4781,82.04,69,10000,14.97,overcast clouds
232,Masallātah,LY,32.6167,14.0,55.56,41,10000,11.61,clear sky
233,Angoram,PG,-4.0625,144.0661,74.84,98,10000,0.6,overcast clouds
234,Saint-Augustin,CA,51.226,-58.6502,21.15,94,306,10.09,light snow
235,Omsukchan,RU,62.5333,155.8,-3.28,97,9184,6.58,overcast clouds
236,Constitución,CL,-35.3333,-72.4167,65.75,72,10000,7.05,broken clouds
237,Guerrero Negro,MX,27.9769,-114.0611,58.48,41,10000,3.11,scattered clouds
238,Torbay,CA,47.6666,-52.7314,21.88,84,10000,5.01,overcast clouds
239,Port Blair,IN,11.6667,92.75,80.22,75,10000,11.45,overcast clouds
240,Te Anau,NZ,-45.4167,167.7167,49.17,93,10000,1.9,broken clouds
241,Ngawen,ID,-7.0032,111.3129,75.54,92,10000,6.13,moderate rain
242,Kemnay,GB,57.2357,-2.444,50.43,86,10000,5.99,overcast clouds
243,Mt. Dora,US,28.8025,-81.6445,57.0,88,10000,7.45,overcast clouds
244,Havre-St-Pierre,CA,50.2334,-63.5986,19.76,73,10000,10.36,light snow
245,Tagusao,PH,9.1924,117.8141,79.21,83,10000,6.46,overcast clouds
246,Lompoc,US,34.6391,-120.4579,57.78,81,10000,5.75,clear sky
247,Vardø,NO,70.3705,31.1107,28.15,67,10000,9.57,light snow
248,Caravelas,BR,-17.7125,-39.2481,86.38,57,10000,8.75,scattered clouds
249,Hualmay,PE,-11.0964,-77.6139,70.77,81,10000,5.88,overcast clouds
250,Innisfail,AU,-17.5333,146.0333,76.86,93,9627,7.72,overcast clouds
251,Norton,ZW,-17.8833,30.7,66.25,92,10000,5.91,light rain
252,Kamenka,RU,51.3223,42.7678,11.75,97,10000,7.4,broken clouds
253,San Cristobal,VE,7.7669,-72.225,68.18,68,10000,2.53,broken clouds
254,São Filipe,CV,14.8961,-24.4956,72.61,68,10000,10.4,overcast clouds
255,Batemans Bay,AU,-35.7167,150.1833,77.2,89,10000,6.08,light rain
256,Noumea,NC,-22.2763,166.4572,79.0,99,10000,10.49,light rain
257,Ixtapa,MX,20.7,-105.2,64.22,94,10000,3.44,scattered clouds
258,Silifke,TR,36.3778,33.9344,45.03,54,10000,3.65,scattered clouds
259,Ancud,CL,-41.8697,-73.8203,62.13,69,10000,6.29,clear sky
260,Callaguip,PH,18.0714,120.4867,80.2,78,10000,3.47,overcast clouds
261,Teya,RU,60.3778,92.6267,-5.35,99,3620,3.65,overcast clouds
262,Ljungby,SE,56.8332,13.9408,38.79,51,10000,10.29,clear sky
263,Obo,CF,5.3998,26.4869,93.79,13,10000,7.99,overcast clouds
264,Puri,IN,19.8,85.85,66.72,53,10000,9.4,clear sky
265,Itoman,JP,26.1247,127.6694,66.22,77,10000,10.36,broken clouds
266,Saint-François,FR,46.4154,3.9054,35.04,100,10000,3.44,overcast clouds
